"","Gracz","Pozycja","Urodziny","Wiek","Pierwsza narodowość","Druga narodowość","Wzrost","Lepsza noga","Data dołączenia","Poprzedni klub","Data wygaśnięcia kontraktu","Wartość rynkowa","Liga"
"33","Krzysztof Bakowski","Goalkeeper","Jan 4, 2003","20","Poland",NA,190,"both","Feb 4, 2019","Lech Poznan U19","Jun 30, 2024","€200k","Ekstraklasa"
"34","Filip Dagerstal","Centre-Back","Feb 1, 1997","25","Sweden",NA,189,"right","Jul 26, 2022","FK Khimki","Jun 30, 2023","€1.80m","Ekstraklasa"
"35","Antonio Milic","Centre-Back","Mar 10, 1994","28","Croatia",NA,190,"left","Jan 10, 2021","RSC Anderlecht","Jun 30, 2026","€1.50m","Ekstraklasa"
"36","Lubomir Satka","Centre-Back","Dec 2, 1995","27","Slovakia",NA,188,"right","Jul 19, 2019",": Ablöse €750k","Jun 30, 2023","€1.20m","Ekstraklasa"
"37","Bartosz Salamon","Centre-Back","May 1, 1991","31","Poland",NA,194,"right","Jan 9, 2021","SPAL","Jun 30, 2024","€800k","Ekstraklasa"
"38","Pedro Rebocho","Left-Back","Jan 23, 1995","27","Portugal",NA,171,"left","Aug 23, 2021","EA Guingamp","Jun 30, 2023","€900k","Ekstraklasa"
"39","Barry Douglas","Left-Back","Sep 4, 1989","33","UK",NA,176,"left","Jul 10, 2021","Leeds United","Jun 30, 2023","€400k","Ekstraklasa"
"40","Joel Pereira","Right-Back","Sep 28, 1996","26","Portugal",NA,178,"right","Jul 1, 2021","Omonia Nicosia","Jun 30, 2025","€2.00m","Ekstraklasa"
"41","Mateusz Zukowski","Right-Back","Nov 23, 2001","21","Poland",NA,185,"right","Aug 30, 2022","Rangers FC","Jun 30, 2023","€1.00m","Ekstraklasa"
"42","Alan Czerwinski","Right-Back","Feb 2, 1993","29","Poland",NA,181,"right","Aug 1, 2020","Zaglebie Lubin","Jun 30, 2025","€500k","Ekstraklasa"
"43","Jesper Karlström","Defensive Midfield","Jun 21, 1995","27","Sweden",NA,185,"right","Jan 1, 2021","Djurgårdens IF","Jun 30, 2024","€2.50m","Ekstraklasa"
"44","Nika Kvekveskiri","Defensive Midfield","May 29, 1992","30","Georgia",NA,186,"right","Jan 29, 2021","Tobol Kostanay","Jun 30, 2025","€850k","Ekstraklasa"
"45","Antoni Kozubal","Defensive Midfield","Aug 18, 2004","18","Poland",NA,177,"right","Jan 27, 2021","Lech Poznan II","Jun 30, 2024","€150k","Ekstraklasa"
"46","Radoslaw Murawski","Central Midfield","Apr 22, 1994","28","Poland",NA,173,"right","Jul 1, 2021","Denizlispor","Jun 30, 2024","€1.00m","Ekstraklasa"
"47","Afonso Sousa","Attacking Midfield","May 3, 2000","22","Portugal",NA,174,"right","Jul 1, 2022","B SAD","Jun 30, 2026","€1.80m","Ekstraklasa"
"48","João Amaral","Attacking Midfield","Sep 7, 1991","31","Portugal",NA,172,"both","Jul 21, 2018","SL Benfica","Jun 30, 2024","€1.20m","Ekstraklasa"
"49","Filip Marchwinski","Attacking Midfield","Jan 10, 2002","21","Poland",NA,187,"both","Dec 12, 2018","Lech Poznan U19","Jun 30, 2024","€800k","Ekstraklasa"
"50","Maksym Czekala","Attacking Midfield","Mar 5, 2004","18","Poland",NA,183,"left","May 13, 2022","Lech Poznan II","Dec 31, 2023","€25k","Ekstraklasa"
"51","Kristoffer Velde","Left Winger","Sep 9, 1999","23","Norway",NA,179,"right","Jan 12, 2022","FK Haugesund","Dec 31, 2025","€1.50m","Ekstraklasa"
"52","Jakub Antczak","Left Winger","Apr 29, 2004","18","Poland",NA,168,"right","Feb 1, 2022","Lech Poznan II","Jun 30, 2024","€50k","Ekstraklasa"
"53","Michal Skoras","Right Winger","Feb 15, 2000","22","Poland",NA,172,"right","Jul 1, 2019","Lech Poznan II","Jun 30, 2026","€3.50m","Ekstraklasa"
"54","Georgiy Tsitaishvili","Right Winger","Nov 18, 2000","22","Georgia","Ukraine",171,"left","Jul 1, 2022","Dynamo Kyiv","Jun 30, 2023","€800k","Ekstraklasa"
"55","Adriel Ba Loua","Right Winger","Jul 25, 1996","26","Cote d'Ivoire",NA,170,"left","Aug 27, 2021","FC Viktoria Plzen","Jun 30, 2025","€400k","Ekstraklasa"
"56","Mikael Ishak","Centre-Forward","Mar 31, 1993","29","Sweden",NA,185,"both","Jul 20, 2020","1.FC Nuremberg","Jun 30, 2025","€3.00m","Ekstraklasa"
"57","Filip Szymczak","Centre-Forward","May 6, 2002","20","Poland",NA,187,"both","May 1, 2019","Lech Poznan U19","Jun 30, 2025","€700k","Ekstraklasa"
"58","Artur Sobiech","Centre-Forward","Jun 12, 1990","32","Poland",NA,184,"right","Jul 1, 2021","Fatih Karagümrük","Jun 30, 2023","€150k","Ekstraklasa"
"59","Norbert Paclawski","Centre-Forward","Feb 19, 2004","18","Poland",NA,180,"right","Jan 27, 2021","Lech Poznan II","Jun 30, 2023","€100k","Ekstraklasa"
"60","Kacper Tobiasz","Goalkeeper","Nov 4, 2002","20","Poland",NA,191,"left","Oct 7, 2020","Legia Warsaw II","Jun 30, 2026","€1.50m","Ekstraklasa"
"61","Cezary Miszta","Goalkeeper","Oct 30, 2001","21","Poland",NA,192," ","Jan 1, 2019","Legia Warsaw II","Jun 30, 2025","€400k","Ekstraklasa"
"62","Dominik Hladun","Goalkeeper","Sep 17, 1995","27","Poland",NA,190,"left","Jul 1, 2022","Zaglebie Lubin","Jun 30, 2026","€150k","Ekstraklasa"
"63","Jakub Trojanowski","Goalkeeper","Jul 15, 2001","21","Poland",NA,190," ","Nov 4, 2022","Legia Warsaw II","Jun 30, 2023","€50k","Ekstraklasa"
"64","Maik Nawrocki","Centre-Back","Feb 7, 2001","21","Poland","Germany",191,"both","Jul 1, 2022","SV Werder Bremen","Jun 30, 2025","€1.80m","Ekstraklasa"
"65","Rafal Augustyniak","Centre-Back","Oct 14, 1993","29","Poland",NA,185,"right","Jul 30, 2022","Ural Yekaterinburg","Jun 30, 2025","€1.00m","Ekstraklasa"
"66","Lindsay Rose","Centre-Back","Feb 8, 1992","30","Mauritius","France",184,"right","Jul 1, 2021","Aris Thessaloniki","Jun 30, 2024","€500k","Ekstraklasa"
"67","Artur Jedrzejczyk","Centre-Back","Nov 4, 1987","35","Poland",NA,189,"right","Jan 4, 2017",": Ablöse €900k","Jun 30, 2023","€300k","Ekstraklasa"
"68","Bartosz Slisz","Defensive Midfield","Mar 29, 1999","23","Poland",NA,179,"right","Feb 28, 2020","Zaglebie Lubin","Dec 31, 2024","€1.50m","Ekstraklasa"
"69","Igor Kharatin","Defensive Midfield","Feb 2, 1995","27","Ukraine","Hungary",188,"right","Sep 1, 2021","Ferencvárosi TC","Jun 30, 2024","€600k","Ekstraklasa"
"70","Patryk Sokolowski","Defensive Midfield","Sep 25, 1994","28","Poland",NA,182," ","Jan 6, 2022","Piast Gliwice","Dec 31, 2023","€450k","Ekstraklasa"
"71","Jurgen Çelhaka","Defensive Midfield","Dec 6, 2000","22","Albania",NA,183,"right","Aug 28, 2021","KF Tirana","Jun 30, 2025","€300k","Ekstraklasa"
"72","Jakub Kisiel","Defensive Midfield","Feb 5, 2003","19","Poland",NA,184," ","Oct 7, 2020","Legia Warsaw II","Jun 30, 2025","€200k","Ekstraklasa"
"73","Pawel Wszolek","Right Midfield","Apr 30, 1992","30","Poland",NA,186,"right","Jul 7, 2022","1.FC Union Berlin","Jun 30, 2025","€1.20m","Ekstraklasa"
"74","Mattias Johansson","Right Midfield","Feb 16, 1992","30","Sweden",NA,174,"right","Jul 1, 2021","Genclerbirligi Ankara","Jun 30, 2023","€500k","Ekstraklasa"
"75","Nikodem Niski","Right Midfield","Apr 14, 2002","20","Poland",NA,178," ","Jul 14, 2020","Legia Warsaw II","Jun 30, 2023","€50k","Ekstraklasa"
"76","Filip Mladenovic","Left Midfield","Aug 15, 1991","31","Serbia",NA,180,"left","Jul 21, 2020","Lechia Gdansk","Jun 30, 2023","€1.50m","Ekstraklasa"
"77","Yuri Ribeiro","Left Midfield","Jan 24, 1997","25","Portugal","Switzerland",175,"left","Aug 23, 2021","Nottingham Forest","Jun 30, 2024","€400k","Ekstraklasa"
"78","Bartosz Kapustka","Attacking Midfield","Dec 23, 1996","26","Poland",NA,179,"right","Aug 13, 2020","Leicester City","Jun 30, 2023","€1.20m","Ekstraklasa"
"79","Josué","Attacking Midfield","Sep 17, 1990","32","Portugal",NA,174,"left","Jul 1, 2021","Hapoel Beer Sheva","Jun 30, 2023","€1.00m","Ekstraklasa"
"80","Makana Baku","Attacking Midfield","Apr 8, 1998","24","Germany","DR Congo",177,"right","Jul 2, 2022","Göztepe","Jun 30, 2025","€550k","Ekstraklasa"
"81","Robert Pich","Attacking Midfield","Nov 12, 1988","34","Slovakia",NA,173," ","Jul 1, 2022","Slask Wroclaw","Jun 30, 2024","€200k","Ekstraklasa"
"82","Igor Strzalek","Attacking Midfield","Jan 19, 2004","18","Poland",NA,183,"both","Feb 2, 2022","Legia Warsaw II","Dec 31, 2023","€50k","Ekstraklasa"
"83","Ernest Muci","Centre-Forward","Mar 19, 2001","21","Albania",NA,180,"both","Feb 23, 2021","KF Tirana","Jun 30, 2025","€1.50m","Ekstraklasa"
"84","Carlitos","Centre-Forward","Jun 12, 1990","32","Spain",NA,176,"right","Aug 16, 2022","Panathinaikos Athens","Jun 30, 2024","€1.00m","Ekstraklasa"
"85","Maciej Rosolek","Centre-Forward","Sep 2, 2001","21","Poland",NA,183,"both","Jul 5, 2019","Legia Warsaw U19","Jun 30, 2025","€700k","Ekstraklasa"
"86","Blaz Kramer","Centre-Forward","Jun 1, 1996","26","Slovenia",NA,191,"right","Jul 1, 2022","FC Zürich","Jun 30, 2025","€400k","Ekstraklasa"
"87","Dante Stipica","Goalkeeper","May 30, 1991","31","Croatia",NA,189," ","Jul 1, 2019",": Ablöse free transfer","Jun 30, 2026","€800k","Ekstraklasa"
"88","Bartosz Klebaniuk","Goalkeeper","Apr 3, 2002","20","Poland",NA,193,"both","Jul 1, 2021","Pogon Siedlce ","Jun 30, 2025","€300k","Ekstraklasa"
"89","Maciej Kowal","Goalkeeper","Dec 9, 2002","20","Poland",NA,195,"left","Jul 12, 2022","Siarka Tarnobrzeg","Jun 30, 2025","€25k","Ekstraklasa"
"90","Konstantinos Triantafyllopoulos","Centre-Back","Apr 3, 1993","29","Greece",NA,185,"right","Jul 1, 2019",": Ablöse free transfer","Jun 30, 2023","€800k","Ekstraklasa"
"91","Mariusz Malec","Centre-Back","Apr 4, 1995","27","Poland",NA,191,"left","Jul 1, 2018","Podbeskidzie Bielsko-Biala","Jun 30, 2024","€500k","Ekstraklasa"
"92","Benedikt Zech","Centre-Back","Nov 3, 1990","32","Austria",NA,186,"right","Jul 1, 2019","SCR Altach","Jun 30, 2025","€400k","Ekstraklasa"
"93","Bartlomiej Mruk","Centre-Back","Aug 21, 2001","21","Poland",NA,184,"left","Aug 1, 2020","Garbarnia Krakow","Jun 30, 2023","€50k","Ekstraklasa"
"94","Luís Mata","Left-Back","Jul 6, 1997","25","Portugal",NA,181,"left","Aug 1, 2020","FC Porto B","Jun 30, 2023","€1.00m","Ekstraklasa"
"95","Leonardo Koutris","Left-Back","Jul 23, 1995","27","Greece","Brazil",170,"left","Jan 1, 2023","Olympiacos Piraeus","Jun 30, 2026","€800k","Ekstraklasa"
"96","Léo Borges","Left-Back","Jan 3, 2001","22","Brazil",NA,179,"left","Jul 10, 2022","Sport Club Internacional","Jun 30, 2025","€450k","Ekstraklasa"
"97","Linus Wahlqvist","Right-Back","Nov 11, 1996","26","Sweden",NA,185,"right","Jan 1, 2023","IFK Norrköping","Jun 30, 2026","€1.20m","Ekstraklasa"
"98","Pawel Stolarski","Right-Back","Jan 28, 1996","26","Poland",NA,181,"right","Jan 1, 2021","Legia Warszawa","Jun 30, 2024","€300k","Ekstraklasa"
"99","Dawid Rezaeian","Right-Back","Jun 26, 2002","20","Poland","Iran",172,"right","Sep 20, 2021","Pogon Szczecin II","Jun 30, 2024","€50k","Ekstraklasa"
"100","Damian Dabrowski","Defensive Midfield","Aug 27, 1992","30","Poland",NA,178,"right","Aug 24, 2019","Cracovia","Jun 30, 2024","€1.20m","Ekstraklasa"
"101","Stanislaw Wawrzynowicz","Defensive Midfield","Mar 13, 1999","23","Poland",NA,177,"both","Jul 1, 2022","Pogon Szczecin II","Jun 30, 2025","€25k","Ekstraklasa"
"102","Mateusz Legowski","Central Midfield","Jan 29, 2003","19","Poland",NA,181,"right","Jan 27, 2021","Pogon Szczecin II","Jun 30, 2025","€1.50m","Ekstraklasa"
"103","Kamil Drygas","Central Midfield","Sep 7, 1991","31","Poland",NA,184,"left","Jul 1, 2016","Zawisza Bydgoszcz","Jun 30, 2024","€400k","Ekstraklasa"
"104","Kacper Smolinski","Central Midfield","Feb 7, 2001","21","Poland",NA,178,"left","Feb 21, 2019","Pogon Szczecin II","Jun 30, 2024","€400k","Ekstraklasa"
"105","Yadegar Rostami","Central Midfield","Jan 2, 2004","19","Iran",NA,NA,"right","Oct 27, 2022","Pogon Szczecin II","Jun 30, 2024","€25k","Ekstraklasa"
"106","Sebastian Kowalczyk","Attacking Midfield","Aug 22, 1998","24","Poland",NA,170,"right","Nov 25, 2016","Pogon Szczecin II","Jun 30, 2025","€1.30m","Ekstraklasa"
"107","Vahan Bichakhchyan","Attacking Midfield","Jul 9, 1999","23","Armenia",NA,172,"left","Jan 10, 2022",": Ablöse €900k","Jun 30, 2025","€1.20m","Ekstraklasa"
"108","Kacper Lukasiak","Attacking Midfield","Sep 24, 2003","19","Poland",NA,180," ","Mar 3, 2022","Pogon Szczecin II","Jun 30, 2024","€25k","Ekstraklasa"
"109","Kamil Grosicki","Left Winger","Jun 8, 1988","34","Poland",NA,180,"right","Aug 21, 2021","West Bromwich Albion","Jun 30, 2024","€700k","Ekstraklasa"
"110","Mariusz Fornalczyk","Left Winger","Jan 15, 2003","19","Poland",NA,172,"right","Jul 1, 2020","Polonia Bytom","Jun 30, 2024","€700k","Ekstraklasa"
"111","Rafal Kurzawa","Left Winger","Jan 29, 1993","29","Poland",NA,182,"left","Feb 16, 2021","Without Club","Jun 30, 2025","€300k","Ekstraklasa"
"112","Marcel Wedrychowski","Right Winger","Jan 13, 2002","20","Poland",NA,173,"both","Oct 17, 2018","Pogon Szczecin U19","Jun 30, 2024","€300k","Ekstraklasa"
"113","Michal Kucharczyk","Right Winger","Mar 20, 1991","31","Poland",NA,178,"right","Aug 6, 2020","Ural Yekaterinburg","Jun 30, 2023","€300k","Ekstraklasa"
"114","Alexander Gorgon","Right Winger","Oct 28, 1988","34","Austria",NA,185,"right","Aug 3, 2020","HNK Rijeka","Jun 30, 2023","€100k","Ekstraklasa"
"115","Pontus Almqvist","Centre-Forward","Jul 10, 1999","23","Sweden",NA,183,"left","Jul 5, 2022","FK Rostov","Jun 30, 2023","€2.20m","Ekstraklasa"
"116","Luka Zahovic","Centre-Forward","Nov 15, 1995","27","Slovenia","Portugal",177,"right","Oct 1, 2020","NK Maribor","Jun 30, 2023","€1.20m","Ekstraklasa"
"117","Kacper Kostorz","Centre-Forward","Aug 21, 1999","23","Poland",NA,191,"both","Jan 7, 2022","Legia Warszawa","Jun 30, 2026","€100k","Ekstraklasa"
"118","Karol Niemczycki","Goalkeeper","Jul 5, 1999","23","Poland",NA,190,"left","Aug 13, 2020","Puszcza Niepolomice","Jun 30, 2023","€1.20m","Ekstraklasa"
"119","Lukas Hrosso","Goalkeeper","Apr 19, 1987","35","Slovakia",NA,195," ","Jul 1, 2019","Zaglebie Sosnowiec","Jun 30, 2024","€50k","Ekstraklasa"
"120","Sebastian Madejski","Goalkeeper","Jan 2, 1997","26","Poland",NA,189," ","Sep 9, 2022","Motor Lublin","Jun 30, 2024","€25k","Ekstraklasa"
"121","Filip Kramarz","Goalkeeper","Jun 22, 2004","18","Poland",NA,188," ","Jul 20, 2021","Cracovia II","-","€25k","Ekstraklasa"
"122","Virgil Ghita","Centre-Back","Jun 4, 1998","24","Romania",NA,186," ","Feb 28, 2022","FCV Farul Constanta","Jun 30, 2026","€1.50m","Ekstraklasa"
"123","Jakub Jugas","Centre-Back","May 5, 1992","30","Czech Republic",NA,188,"right","Jul 1, 2021",": Ablöse free transfer","Jun 30, 2024","€500k","Ekstraklasa"
"124","David Jablonsky","Centre-Back","Oct 8, 1991","31","Czech Republic",NA,190,"right","Jul 1, 2019","Levski Sofia","Jun 30, 2024","€300k","Ekstraklasa"
"125","Krystian Bracik","Centre-Back","Mar 18, 2001","21","Poland",NA,184," ","May 11, 2021","Cracovia II","Jun 30, 2024","€25k","Ekstraklasa"
"126","Oskar Wojcik","Centre-Back","Jul 21, 2003","19","Poland",NA,191,"right","Aug 7, 2020","Cracovia U19","Jun 30, 2023","€25k","Ekstraklasa"
"127","Mathias Hebo Rasmussen","Defensive Midfield","Aug 2, 1995","27","Denmark",NA,190,"right","Jul 1, 2021","Lyngby BK","Jun 30, 2024","€800k","Ekstraklasa"
"128","Takuto Oshima","Defensive Midfield","Jun 1, 1998","24","Japan",NA,175," ","Jul 12, 2022","Zemplin Michalovce","Jun 30, 2024","€650k","Ekstraklasa"
"129","Florian Loshaj","Defensive Midfield","Aug 13, 1996","26","Kosovo","Belgium",174,"left","Jan 15, 2020","ACSM Politehnica Iasi","Jun 30, 2023","€550k","Ekstraklasa"
"130","Karol Knap","Defensive Midfield","Sep 12, 2001","21","Poland",NA,180,"left","Jul 1, 2021","Puszcza Niepolomice","Jun 30, 2026","€400k","Ekstraklasa"
"131","Radoslaw Kanach","Defensive Midfield","Apr 3, 1999","23","Poland",NA,181,"right","Jul 1, 2016",": Ablöse free transfer","-","€50k","Ekstraklasa"
"132","Kacper Jodlowski","Defensive Midfield","May 30, 1999","23","Poland",NA,187," ","Jul 14, 2022","Cracovia II","Jun 30, 2025","€25k","Ekstraklasa"
"133","Robert Ozog","Central Midfield","Jan 8, 2000","23","Poland",NA,178,"right","May 19, 2022","Cracovia II","Jun 30, 2024","€25k","Ekstraklasa"
"134","Otar Kakabadze","Right Midfield","Jun 27, 1995","27","Georgia",NA,186,"right","Jul 1, 2021","CD Tenerife","Jun 30, 2024","€700k","Ekstraklasa"
"135","Cornel Rapa","Right Midfield","Jan 16, 1990","32","Romania",NA,180,"right","Jul 31, 2018","Pogon Szczecin","Jun 30, 2024","€400k","Ekstraklasa"
"136","Michal Stachera","Right Midfield","Jan 18, 2001","21","Poland",NA,175,"right","Aug 19, 2022","Cracovia II","Jun 30, 2023","€75k","Ekstraklasa"
"137","Kamil Pestka","Left Midfield","Aug 22, 1998","24","Poland",NA,189,"left","May 31, 2017","Cracovia II","Jun 30, 2023","€750k","Ekstraklasa"
"138","Pawel Jaroszynski","Left Midfield","Oct 2, 1994","28","Poland",NA,184,"left","Aug 31, 2022","US Salernitana 1919","Jun 30, 2023","€600k","Ekstraklasa"
"139","Michal Siplak","Left Midfield","Feb 2, 1996","26","Slovakia",NA,184,"left","Jul 7, 2017",": Ablöse free transfer","Jun 30, 2023","€550k","Ekstraklasa"
"140","Patryk Zaucha","Left Midfield","Apr 19, 2000","22","Poland",NA,175,"left","May 2, 2019","Cracovia U19","Jun 30, 2024","€25k","Ekstraklasa"
"141","Michal Rakoczy","Attacking Midfield","Mar 30, 2002","20","Poland",NA,175," ","Feb 9, 2018","Cracovia U19","Jun 30, 2027","€1.20m","Ekstraklasa"
"142","Jakub Myszor","Attacking Midfield","Jun 7, 2002","20","Poland",NA,175,"both","May 29, 2020","Cracovia U19","Jun 30, 2024","€1.20m","Ekstraklasa"
"143","Yevgen Konoplyanka","Attacking Midfield","Sep 29, 1989","33","Ukraine",NA,176,"right","Feb 11, 2022","Shakhtar Donetsk","Jun 30, 2023","€700k","Ekstraklasa"
"144","Przemyslaw Kapek","Attacking Midfield","May 7, 2003","19","Poland",NA,178,"right","May 29, 2020","Cracovia U19","Jun 30, 2023","€50k","Ekstraklasa"
"145","Marcin Budzinski","Attacking Midfield","Jul 6, 1990","32","Poland",NA,184,"right","Aug 18, 2022","Cracovia II","Jun 30, 2024","€25k","Ekstraklasa"
"146","Benjamin Källman","Centre-Forward","Jun 17, 1998","24","Finland",NA,182,"right","Jul 2, 2022","FC Inter Turku","Jun 30, 2025","€800k","Ekstraklasa"
"147","Patryk Makuch","Centre-Forward","Apr 11, 1999","23","Poland",NA,187," ","Jul 1, 2022","Miedz Legnica","Jun 30, 2026","€750k","Ekstraklasa"
"148","Filip Balaj","Centre-Forward","Aug 2, 1997","25","Slovakia",NA,192,"right","Jul 1, 2021","ViOn Zlate Moravce-Vrable","Jun 30, 2024","€100k","Ekstraklasa"
"149","Sebastian Strozik","Centre-Forward","May 15, 1999","23","Poland",NA,192,"right","Jul 14, 2017","Cracovia U19","Jun 30, 2023","€50k","Ekstraklasa"
"150","Kamil Ogorzaly","Centre-Forward","Sep 5, 2000","22","Poland",NA,178," ","Jul 1, 2021","Sandecja Nowy Sacz","Jun 30, 2025","€25k","Ekstraklasa"
"151","Bartlomiej Gradecki","Goalkeeper","Dec 26, 1999","23","Poland",NA,194," ","Jul 10, 2017","Wisla Plock II","Jun 30, 2025","€400k","Ekstraklasa"
"152","Krzysztof Kaminski","Goalkeeper","Nov 26, 1990","32","Poland",NA,191,"right","Feb 6, 2020","Júbilo Iwata","Jun 30, 2024","€350k","Ekstraklasa"
"153","Oskar Klon","Goalkeeper","Feb 5, 2005","17","Poland",NA,189," ","-","","Jun 30, 2023","€25k","Ekstraklasa"
"154","Kamil Zapytowski","Goalkeeper","Feb 21, 2004","18","Poland",NA,189," ","-","","Jun 30, 2023","€25k","Ekstraklasa"
"155","Oskar Lodzinski","Goalkeeper","Jul 20, 2004","18","Poland",NA,191," ","Jul 12, 2022","Wisla Plock U19","Jun 30, 2024","€25k","Ekstraklasa"
"156","Steve Kapuadi","Centre-Back","Apr 30, 1998","24","France","DR Congo",196,"left","Jul 1, 2022","AS Trencin","Dec 31, 2023","€400k","Ekstraklasa"
"157","Anton Kryvotsyuk","Centre-Back","Aug 20, 1998","24","Azerbaijan","Ukraine",186,"left","Jul 1, 2021","Neftchi Baku","Jun 30, 2024","€400k","Ekstraklasa"
"158","Martin Sulek","Centre-Back","Jan 15, 1998","24","Slovakia",NA,179,"right","Jul 1, 2022","SKF Sered","Dec 31, 2023","€350k","Ekstraklasa"
"159","Adam Chrzanowski","Centre-Back","Mar 31, 1999","23","Poland",NA,186,"left","Jul 1, 2022","Pordenone Calcio","Jun 30, 2025","€250k","Ekstraklasa"
"160","Jakub Rzezniczak","Centre-Back","Oct 26, 1986","36","Poland",NA,183,"right","Jul 1, 2019","Qarabağ FK","Jun 30, 2023","€150k","Ekstraklasa"
"161","Igor Drapinski","Centre-Back","May 31, 2004","18","Poland",NA,186,"left","Jul 2, 2021","UKS SMS Lodz U19","Jun 30, 2024","€50k","Ekstraklasa"
"162","Piotr Tomasik","Left-Back","Oct 31, 1987","35","Poland",NA,177,"left","Jul 1, 2019","Lech Poznan","Jun 30, 2023","€200k","Ekstraklasa"
"163","Aleksander Pawlak","Right-Back","Nov 14, 2001","21","Poland",NA,178," ","Jul 19, 2019","Wisla Plock II","Jun 30, 2025","€600k","Ekstraklasa"
"164","Filip Lesniak","Defensive Midfield","May 14, 1996","26","Slovakia",NA,176,"left","Aug 1, 2020","Aalborg BK","Jun 30, 2024","€300k","Ekstraklasa"
"165","Michal Mokrzycki","Defensive Midfield","Dec 29, 1997","25","Poland",NA,182,"right","Jul 1, 2022","Ruch Chorzow","Jun 30, 2024","€50k","Ekstraklasa"
"166","Damian Rasak","Central Midfield","Feb 8, 1996","26","Poland",NA,184,"right","Jul 1, 2017","Miedz Legnica","Jun 30, 2023","€750k","Ekstraklasa"
"167","Dominik Furman","Central Midfield","Jul 6, 1992","30","Poland",NA,183,"right","Jul 6, 2021","Genclerbirligi Ankara","Jun 30, 2024","€600k","Ekstraklasa"
"168","Miroslav Gono","Central Midfield","Nov 1, 2000","22","Slovakia",NA,181," ","Sep 2, 2022","MSK Zilina","Jun 30, 2023","€250k","Ekstraklasa"
"169","Pawel Chrupalla","Right Midfield","Mar 16, 2003","19","Poland","Norway",184,"left","Jan 1, 2023","Rosenborg BK","Dec 31, 2023","€150k","Ekstraklasa"
"170","Rafal Wolski","Attacking Midfield","Nov 10, 1992","30","Poland",NA,180,"right","Mar 6, 2020","Lechia Gdansk","Jun 30, 2023","€1.50m","Ekstraklasa"
"171","Mateusz Szwoch","Attacking Midfield","Mar 19, 1993","29","Poland",NA,173,"right","Jul 1, 2018","Legia Warszawa","Jun 30, 2024","€500k","Ekstraklasa"
"172","Damian Warchol","Attacking Midfield","Jul 19, 1995","27","Poland",NA,183,"both","Jul 14, 2021","Legia Warsaw II","Jun 30, 2023","€500k","Ekstraklasa"
"173","Radoslaw Cielemecki","Attacking Midfield","Feb 19, 2003","19","Poland",NA,173," ","Jul 1, 2021","Legia Warsaw II","Jun 30, 2024","€250k","Ekstraklasa"
"174","Dawid Krzyzanski","Attacking Midfield","Nov 8, 2001","21","Poland",NA,175," ","Apr 15, 2021","Wisla Plock II","Jun 30, 2023","€25k","Ekstraklasa"
"175","Davo","Left Winger","Dec 18, 1994","28","Spain",NA,178," ","Jul 1, 2022","UD Ibiza","Jun 30, 2024","€1.20m","Ekstraklasa"
"176","Tomasz Walczak","Left Winger","Aug 17, 2005","17","Poland",NA,189," ","Sep 7, 2021","Wisla Plock II","Jun 30, 2023","€50k","Ekstraklasa"
"177","Kristian Vallo","Right Winger","Jun 2, 1998","24","Slovakia",NA,186,"right","Jul 1, 2021",": Ablöse ?","Jun 30, 2023","€800k","Ekstraklasa"
"178","Dawid Kocyla","Right Winger","Jul 23, 2002","20","Poland",NA,180," ","Jan 1, 2020","GKS Belchatow","Dec 31, 2023","€400k","Ekstraklasa"
"179","Milan Kvocera","Right Winger","Jan 1, 1998","25","Slovakia",NA,176,"right","Jul 14, 2022","Without Club","Jun 30, 2024","€100k","Ekstraklasa"
"180","Marko Kolar","Centre-Forward","May 31, 1995","27","Croatia",NA,178,"right","Jul 1, 2021","FC Emmen","Jun 30, 2024","€450k","Ekstraklasa"
"181","Mateusz Lewandowski","Centre-Forward","Mar 4, 1999","23","Poland",NA,187,"right","Aug 1, 2020","BFC Dynamo","Jun 30, 2025","€300k","Ekstraklasa"
"182","Lukasz Sekulski","Centre-Forward","Nov 3, 1990","32","Poland",NA,187,"right","Jul 26, 2021","LKS Lodz","Jun 30, 2025","€300k","Ekstraklasa"
"183","Adrian Szczutowski","Centre-Forward","Sep 12, 2000","22","Poland",NA,195,"both","Jul 19, 2019","Wisla Plock II","Jun 30, 2024","€50k","Ekstraklasa"
"184","Szczepan Mucha","Midfield","Feb 29, 2004","18","Poland",NA,NA," ","-","","Jun 30, 2026","-","Ekstraklasa"
"185","Frantisek Plach","Goalkeeper","Mar 8, 1992","30","Slovakia",NA,192,"left","Jan 10, 2018","FK Senica","Jun 30, 2026","€700k","Ekstraklasa"
"186","Karol Szymanski","Goalkeeper","Jun 25, 1993","29","Poland",NA,192,"right","Aug 1, 2020","Lech Poznan","Jun 30, 2024","€100k","Ekstraklasa"
"187","Bartlomiej Jelonek","Goalkeeper","Dec 22, 2001","21","Poland",NA,185," ","Jul 14, 2022","Piast Gliwice II","Jun 30, 2023","€25k","Ekstraklasa"
"188","Ariel Mosor","Centre-Back","Feb 19, 2003","19","Poland",NA,184," ","Jul 1, 2021","Legia Warszawa","Jun 30, 2024","€1.50m","Ekstraklasa"
"189","Tomas Huk","Centre-Back","Dec 22, 1994","28","Slovakia",NA,184,"right","Jul 1, 2019",": Ablöse €100k","Jun 30, 2025","€550k","Ekstraklasa"
